commodity,month,month_name,is_harvest_month,is_lean_month,harvest_months,lean_months,notes
Rice Long-Grain Imported,1,January,0,0,N/A,N/A,"Import-dependent; price driven by FX and shipping, not harvest"
Rice Long-Grain Imported,2,February,0,0,N/A,N/A,"Import-dependent; price driven by FX and shipping, not harvest"
Rice Long-Grain Imported,3,March,0,0,N/A,N/A,"Import-dependent; price driven by FX and shipping, not harvest"
Rice Long-Grain Imported,4,April,0,0,N/A,N/A,"Import-dependent; price driven by FX and shipping, not harvest"
Rice Long-Grain Imported,5,May,0,0,N/A,N/A,"Import-dependent; price driven by FX and shipping, not harvest"
Rice Long-Grain Imported,6,June,0,0,N/A,N/A,"Import-dependent; price driven by FX and shipping, not harvest"
Rice Long-Grain Imported,7,July,0,0,N/A,N/A,"Import-dependent; price driven by FX and shipping, not harvest"
Rice Long-Grain Imported,8,August,0,0,N/A,N/A,"Import-dependent; price driven by FX and shipping, not harvest"
Rice Long-Grain Imported,9,September,0,0,N/A,N/A,"Import-dependent; price driven by FX and shipping, not harvest"
Rice Long-Grain Imported,10,October,0,0,N/A,N/A,"Import-dependent; price driven by FX and shipping, not harvest"
Rice Long-Grain Imported,11,November,0,0,N/A,N/A,"Import-dependent; price driven by FX and shipping, not harvest"
Rice Long-Grain Imported,12,December,0,0,N/A,N/A,"Import-dependent; price driven by FX and shipping, not harvest"
Wheat Flour 2kg,1,January,0,0,N/A,N/A,Fully imported; price driven by FX and global wheat prices
Wheat Flour 2kg,2,February,0,0,N/A,N/A,Fully imported; price driven by FX and global wheat prices
Wheat Flour 2kg,3,March,0,0,N/A,N/A,Fully imported; price driven by FX and global wheat prices
Wheat Flour 2kg,4,April,0,0,N/A,N/A,Fully imported; price driven by FX and global wheat prices
Wheat Flour 2kg,5,May,0,0,N/A,N/A,Fully imported; price driven by FX and global wheat prices
Wheat Flour 2kg,6,June,0,0,N/A,N/A,Fully imported; price driven by FX and global wheat prices
Wheat Flour 2kg,7,July,0,0,N/A,N/A,Fully imported; price driven by FX and global wheat prices
Wheat Flour 2kg,8,August,0,0,N/A,N/A,Fully imported; price driven by FX and global wheat prices
Wheat Flour 2kg,9,September,0,0,N/A,N/A,Fully imported; price driven by FX and global wheat prices
Wheat Flour 2kg,10,October,0,0,N/A,N/A,Fully imported; price driven by FX and global wheat prices
Wheat Flour 2kg,11,November,0,0,N/A,N/A,Fully imported; price driven by FX and global wheat prices
Wheat Flour 2kg,12,December,0,0,N/A,N/A,Fully imported; price driven by FX and global wheat prices
Semovita 1kg,1,January,0,0,N/A,N/A,Processed wheat product; price tracks import costs
Semovita 1kg,2,February,0,0,N/A,N/A,Processed wheat product; price tracks import costs
Semovita 1kg,3,March,0,0,N/A,N/A,Processed wheat product; price tracks import costs
Semovita 1kg,4,April,0,0,N/A,N/A,Processed wheat product; price tracks import costs
Semovita 1kg,5,May,0,0,N/A,N/A,Processed wheat product; price tracks import costs
Semovita 1kg,6,June,0,0,N/A,N/A,Processed wheat product; price tracks import costs
Semovita 1kg,7,July,0,0,N/A,N/A,Processed wheat product; price tracks import costs
Semovita 1kg,8,August,0,0,N/A,N/A,Processed wheat product; price tracks import costs
Semovita 1kg,9,September,0,0,N/A,N/A,Processed wheat product; price tracks import costs
Semovita 1kg,10,October,0,0,N/A,N/A,Processed wheat product; price tracks import costs
Semovita 1kg,11,November,0,0,N/A,N/A,Processed wheat product; price tracks import costs
Semovita 1kg,12,December,0,0,N/A,N/A,Processed wheat product; price tracks import costs
Yam Tuber,1,January,0,0,"8,9,10,11","3,4,5",New yam harvest Aug-Nov; March-May lean pre-harvest
Yam Tuber,2,February,0,0,"8,9,10,11","3,4,5",New yam harvest Aug-Nov; March-May lean pre-harvest
Yam Tuber,3,March,0,1,"8,9,10,11","3,4,5",New yam harvest Aug-Nov; March-May lean pre-harvest
Yam Tuber,4,April,0,1,"8,9,10,11","3,4,5",New yam harvest Aug-Nov; March-May lean pre-harvest
Yam Tuber,5,May,0,1,"8,9,10,11","3,4,5",New yam harvest Aug-Nov; March-May lean pre-harvest
Yam Tuber,6,June,0,0,"8,9,10,11","3,4,5",New yam harvest Aug-Nov; March-May lean pre-harvest
Yam Tuber,7,July,0,0,"8,9,10,11","3,4,5",New yam harvest Aug-Nov; March-May lean pre-harvest
Yam Tuber,8,August,1,0,"8,9,10,11","3,4,5",New yam harvest Aug-Nov; March-May lean pre-harvest
Yam Tuber,9,September,1,0,"8,9,10,11","3,4,5",New yam harvest Aug-Nov; March-May lean pre-harvest
Yam Tuber,10,October,1,0,"8,9,10,11","3,4,5",New yam harvest Aug-Nov; March-May lean pre-harvest
Yam Tuber,11,November,1,0,"8,9,10,11","3,4,5",New yam harvest Aug-Nov; March-May lean pre-harvest
Yam Tuber,12,December,0,0,"8,9,10,11","3,4,5",New yam harvest Aug-Nov; March-May lean pre-harvest
Irish Potato,1,January,0,0,"3,4,10,11","7,8",Bimodal harvest: Mar-Apr (Plateau/Jos) and Oct-Nov
Irish Potato,2,February,0,0,"3,4,10,11","7,8",Bimodal harvest: Mar-Apr (Plateau/Jos) and Oct-Nov
Irish Potato,3,March,1,0,"3,4,10,11","7,8",Bimodal harvest: Mar-Apr (Plateau/Jos) and Oct-Nov
Irish Potato,4,April,1,0,"3,4,10,11","7,8",Bimodal harvest: Mar-Apr (Plateau/Jos) and Oct-Nov
Irish Potato,5,May,0,0,"3,4,10,11","7,8",Bimodal harvest: Mar-Apr (Plateau/Jos) and Oct-Nov
Irish Potato,6,June,0,0,"3,4,10,11","7,8",Bimodal harvest: Mar-Apr (Plateau/Jos) and Oct-Nov
Irish Potato,7,July,0,1,"3,4,10,11","7,8",Bimodal harvest: Mar-Apr (Plateau/Jos) and Oct-Nov
Irish Potato,8,August,0,1,"3,4,10,11","7,8",Bimodal harvest: Mar-Apr (Plateau/Jos) and Oct-Nov
Irish Potato,9,September,0,0,"3,4,10,11","7,8",Bimodal harvest: Mar-Apr (Plateau/Jos) and Oct-Nov
Irish Potato,10,October,1,0,"3,4,10,11","7,8",Bimodal harvest: Mar-Apr (Plateau/Jos) and Oct-Nov
Irish Potato,11,November,1,0,"3,4,10,11","7,8",Bimodal harvest: Mar-Apr (Plateau/Jos) and Oct-Nov
Irish Potato,12,December,0,0,"3,4,10,11","7,8",Bimodal harvest: Mar-Apr (Plateau/Jos) and Oct-Nov
Sweet Potatoes,1,January,0,0,"9,10,11","4,5,6",Peak supply Oct-Nov post-rainy season
Sweet Potatoes,2,February,0,0,"9,10,11","4,5,6",Peak supply Oct-Nov post-rainy season
Sweet Potatoes,3,March,0,0,"9,10,11","4,5,6",Peak supply Oct-Nov post-rainy season
Sweet Potatoes,4,April,0,1,"9,10,11","4,5,6",Peak supply Oct-Nov post-rainy season
Sweet Potatoes,5,May,0,1,"9,10,11","4,5,6",Peak supply Oct-Nov post-rainy season
Sweet Potatoes,6,June,0,1,"9,10,11","4,5,6",Peak supply Oct-Nov post-rainy season
Sweet Potatoes,7,July,0,0,"9,10,11","4,5,6",Peak supply Oct-Nov post-rainy season
Sweet Potatoes,8,August,0,0,"9,10,11","4,5,6",Peak supply Oct-Nov post-rainy season
Sweet Potatoes,9,September,1,0,"9,10,11","4,5,6",Peak supply Oct-Nov post-rainy season
Sweet Potatoes,10,October,1,0,"9,10,11","4,5,6",Peak supply Oct-Nov post-rainy season
Sweet Potatoes,11,November,1,0,"9,10,11","4,5,6",Peak supply Oct-Nov post-rainy season
Sweet Potatoes,12,December,0,0,"9,10,11","4,5,6",Peak supply Oct-Nov post-rainy season
Garri White,1,January,0,0,"9,10,11,12","3,4,5",Cassava harvest year-round but processing peaks Oct-Dec
Garri White,2,February,0,0,"9,10,11,12","3,4,5",Cassava harvest year-round but processing peaks Oct-Dec
Garri White,3,March,0,1,"9,10,11,12","3,4,5",Cassava harvest year-round but processing peaks Oct-Dec
Garri White,4,April,0,1,"9,10,11,12","3,4,5",Cassava harvest year-round but processing peaks Oct-Dec
Garri White,5,May,0,1,"9,10,11,12","3,4,5",Cassava harvest year-round but processing peaks Oct-Dec
Garri White,6,June,0,0,"9,10,11,12","3,4,5",Cassava harvest year-round but processing peaks Oct-Dec
Garri White,7,July,0,0,"9,10,11,12","3,4,5",Cassava harvest year-round but processing peaks Oct-Dec
Garri White,8,August,0,0,"9,10,11,12","3,4,5",Cassava harvest year-round but processing peaks Oct-Dec
Garri White,9,September,1,0,"9,10,11,12","3,4,5",Cassava harvest year-round but processing peaks Oct-Dec
Garri White,10,October,1,0,"9,10,11,12","3,4,5",Cassava harvest year-round but processing peaks Oct-Dec
Garri White,11,November,1,0,"9,10,11,12","3,4,5",Cassava harvest year-round but processing peaks Oct-Dec
Garri White,12,December,1,0,"9,10,11,12","3,4,5",Cassava harvest year-round but processing peaks Oct-Dec
Garri Yellow,1,January,0,0,"9,10,11,12","3,4,5",Same cassava cycle as garri white
Garri Yellow,2,February,0,0,"9,10,11,12","3,4,5",Same cassava cycle as garri white
Garri Yellow,3,March,0,1,"9,10,11,12","3,4,5",Same cassava cycle as garri white
Garri Yellow,4,April,0,1,"9,10,11,12","3,4,5",Same cassava cycle as garri white
Garri Yellow,5,May,0,1,"9,10,11,12","3,4,5",Same cassava cycle as garri white
Garri Yellow,6,June,0,0,"9,10,11,12","3,4,5",Same cassava cycle as garri white
Garri Yellow,7,July,0,0,"9,10,11,12","3,4,5",Same cassava cycle as garri white
Garri Yellow,8,August,0,0,"9,10,11,12","3,4,5",Same cassava cycle as garri white
Garri Yellow,9,September,1,0,"9,10,11,12","3,4,5",Same cassava cycle as garri white
Garri Yellow,10,October,1,0,"9,10,11,12","3,4,5",Same cassava cycle as garri white
Garri Yellow,11,November,1,0,"9,10,11,12","3,4,5",Same cassava cycle as garri white
Garri Yellow,12,December,1,0,"9,10,11,12","3,4,5",Same cassava cycle as garri white
Tomatoes Fresh,1,January,1,0,"12,1,2,3","6,7,8",Dry-season harvest Dec-Mar; rain season (Jun-Aug) lean
Tomatoes Fresh,2,February,1,0,"12,1,2,3","6,7,8",Dry-season harvest Dec-Mar; rain season (Jun-Aug) lean
Tomatoes Fresh,3,March,1,0,"12,1,2,3","6,7,8",Dry-season harvest Dec-Mar; rain season (Jun-Aug) lean
Tomatoes Fresh,4,April,0,0,"12,1,2,3","6,7,8",Dry-season harvest Dec-Mar; rain season (Jun-Aug) lean
Tomatoes Fresh,5,May,0,0,"12,1,2,3","6,7,8",Dry-season harvest Dec-Mar; rain season (Jun-Aug) lean
Tomatoes Fresh,6,June,0,1,"12,1,2,3","6,7,8",Dry-season harvest Dec-Mar; rain season (Jun-Aug) lean
Tomatoes Fresh,7,July,0,1,"12,1,2,3","6,7,8",Dry-season harvest Dec-Mar; rain season (Jun-Aug) lean
Tomatoes Fresh,8,August,0,1,"12,1,2,3","6,7,8",Dry-season harvest Dec-Mar; rain season (Jun-Aug) lean
Tomatoes Fresh,9,September,0,0,"12,1,2,3","6,7,8",Dry-season harvest Dec-Mar; rain season (Jun-Aug) lean
Tomatoes Fresh,10,October,0,0,"12,1,2,3","6,7,8",Dry-season harvest Dec-Mar; rain season (Jun-Aug) lean
Tomatoes Fresh,11,November,0,0,"12,1,2,3","6,7,8",Dry-season harvest Dec-Mar; rain season (Jun-Aug) lean
Tomatoes Fresh,12,December,1,0,"12,1,2,3","6,7,8",Dry-season harvest Dec-Mar; rain season (Jun-Aug) lean
Onions Fresh,1,January,1,0,"11,12,1,2","7,8,9",Kebbi/Sokoto harvest Nov-Jan; mid-rainy season lean
Onions Fresh,2,February,1,0,"11,12,1,2","7,8,9",Kebbi/Sokoto harvest Nov-Jan; mid-rainy season lean
Onions Fresh,3,March,0,0,"11,12,1,2","7,8,9",Kebbi/Sokoto harvest Nov-Jan; mid-rainy season lean
Onions Fresh,4,April,0,0,"11,12,1,2","7,8,9",Kebbi/Sokoto harvest Nov-Jan; mid-rainy season lean
Onions Fresh,5,May,0,0,"11,12,1,2","7,8,9",Kebbi/Sokoto harvest Nov-Jan; mid-rainy season lean
Onions Fresh,6,June,0,0,"11,12,1,2","7,8,9",Kebbi/Sokoto harvest Nov-Jan; mid-rainy season lean
Onions Fresh,7,July,0,1,"11,12,1,2","7,8,9",Kebbi/Sokoto harvest Nov-Jan; mid-rainy season lean
Onions Fresh,8,August,0,1,"11,12,1,2","7,8,9",Kebbi/Sokoto harvest Nov-Jan; mid-rainy season lean
Onions Fresh,9,September,0,1,"11,12,1,2","7,8,9",Kebbi/Sokoto harvest Nov-Jan; mid-rainy season lean
Onions Fresh,10,October,0,0,"11,12,1,2","7,8,9",Kebbi/Sokoto harvest Nov-Jan; mid-rainy season lean
Onions Fresh,11,November,1,0,"11,12,1,2","7,8,9",Kebbi/Sokoto harvest Nov-Jan; mid-rainy season lean
Onions Fresh,12,December,1,0,"11,12,1,2","7,8,9",Kebbi/Sokoto harvest Nov-Jan; mid-rainy season lean
Carrots Fresh,1,January,1,0,"11,12,1,2","6,7,8",Northern Nigeria harvest Nov-Feb dry season
Carrots Fresh,2,February,1,0,"11,12,1,2","6,7,8",Northern Nigeria harvest Nov-Feb dry season
Carrots Fresh,3,March,0,0,"11,12,1,2","6,7,8",Northern Nigeria harvest Nov-Feb dry season
Carrots Fresh,4,April,0,0,"11,12,1,2","6,7,8",Northern Nigeria harvest Nov-Feb dry season
Carrots Fresh,5,May,0,0,"11,12,1,2","6,7,8",Northern Nigeria harvest Nov-Feb dry season
Carrots Fresh,6,June,0,1,"11,12,1,2","6,7,8",Northern Nigeria harvest Nov-Feb dry season
Carrots Fresh,7,July,0,1,"11,12,1,2","6,7,8",Northern Nigeria harvest Nov-Feb dry season
Carrots Fresh,8,August,0,1,"11,12,1,2","6,7,8",Northern Nigeria harvest Nov-Feb dry season
Carrots Fresh,9,September,0,0,"11,12,1,2","6,7,8",Northern Nigeria harvest Nov-Feb dry season
Carrots Fresh,10,October,0,0,"11,12,1,2","6,7,8",Northern Nigeria harvest Nov-Feb dry season
Carrots Fresh,11,November,1,0,"11,12,1,2","6,7,8",Northern Nigeria harvest Nov-Feb dry season
Carrots Fresh,12,December,1,0,"11,12,1,2","6,7,8",Northern Nigeria harvest Nov-Feb dry season
Ginger Fresh,1,January,1,0,"11,12,1","5,6,7",Harvest Nov-Jan in Kaduna/Nasarawa belt
Ginger Fresh,2,February,0,0,"11,12,1","5,6,7",Harvest Nov-Jan in Kaduna/Nasarawa belt
Ginger Fresh,3,March,0,0,"11,12,1","5,6,7",Harvest Nov-Jan in Kaduna/Nasarawa belt
Ginger Fresh,4,April,0,0,"11,12,1","5,6,7",Harvest Nov-Jan in Kaduna/Nasarawa belt
Ginger Fresh,5,May,0,1,"11,12,1","5,6,7",Harvest Nov-Jan in Kaduna/Nasarawa belt
Ginger Fresh,6,June,0,1,"11,12,1","5,6,7",Harvest Nov-Jan in Kaduna/Nasarawa belt
Ginger Fresh,7,July,0,1,"11,12,1","5,6,7",Harvest Nov-Jan in Kaduna/Nasarawa belt
Ginger Fresh,8,August,0,0,"11,12,1","5,6,7",Harvest Nov-Jan in Kaduna/Nasarawa belt
Ginger Fresh,9,September,0,0,"11,12,1","5,6,7",Harvest Nov-Jan in Kaduna/Nasarawa belt
Ginger Fresh,10,October,0,0,"11,12,1","5,6,7",Harvest Nov-Jan in Kaduna/Nasarawa belt
Ginger Fresh,11,November,1,0,"11,12,1","5,6,7",Harvest Nov-Jan in Kaduna/Nasarawa belt
Ginger Fresh,12,December,1,0,"11,12,1","5,6,7",Harvest Nov-Jan in Kaduna/Nasarawa belt
Plantain Ripe,1,January,0,1,"4,5,9,10","1,2,3",Bimodal: Apr-May and Sep-Oct; Jan-Mar typically lean
Plantain Ripe,2,February,0,1,"4,5,9,10","1,2,3",Bimodal: Apr-May and Sep-Oct; Jan-Mar typically lean
Plantain Ripe,3,March,0,1,"4,5,9,10","1,2,3",Bimodal: Apr-May and Sep-Oct; Jan-Mar typically lean
Plantain Ripe,4,April,1,0,"4,5,9,10","1,2,3",Bimodal: Apr-May and Sep-Oct; Jan-Mar typically lean
Plantain Ripe,5,May,1,0,"4,5,9,10","1,2,3",Bimodal: Apr-May and Sep-Oct; Jan-Mar typically lean
Plantain Ripe,6,June,0,0,"4,5,9,10","1,2,3",Bimodal: Apr-May and Sep-Oct; Jan-Mar typically lean
Plantain Ripe,7,July,0,0,"4,5,9,10","1,2,3",Bimodal: Apr-May and Sep-Oct; Jan-Mar typically lean
Plantain Ripe,8,August,0,0,"4,5,9,10","1,2,3",Bimodal: Apr-May and Sep-Oct; Jan-Mar typically lean
Plantain Ripe,9,September,1,0,"4,5,9,10","1,2,3",Bimodal: Apr-May and Sep-Oct; Jan-Mar typically lean
Plantain Ripe,10,October,1,0,"4,5,9,10","1,2,3",Bimodal: Apr-May and Sep-Oct; Jan-Mar typically lean
Plantain Ripe,11,November,0,0,"4,5,9,10","1,2,3",Bimodal: Apr-May and Sep-Oct; Jan-Mar typically lean
Plantain Ripe,12,December,0,0,"4,5,9,10","1,2,3",Bimodal: Apr-May and Sep-Oct; Jan-Mar typically lean
Plantain Unripe,1,January,0,1,"4,5,9,10","1,2,3",Same cycle as ripe plantain
Plantain Unripe,2,February,0,1,"4,5,9,10","1,2,3",Same cycle as ripe plantain
Plantain Unripe,3,March,0,1,"4,5,9,10","1,2,3",Same cycle as ripe plantain
Plantain Unripe,4,April,1,0,"4,5,9,10","1,2,3",Same cycle as ripe plantain
Plantain Unripe,5,May,1,0,"4,5,9,10","1,2,3",Same cycle as ripe plantain
Plantain Unripe,6,June,0,0,"4,5,9,10","1,2,3",Same cycle as ripe plantain
Plantain Unripe,7,July,0,0,"4,5,9,10","1,2,3",Same cycle as ripe plantain
Plantain Unripe,8,August,0,0,"4,5,9,10","1,2,3",Same cycle as ripe plantain
Plantain Unripe,9,September,1,0,"4,5,9,10","1,2,3",Same cycle as ripe plantain
Plantain Unripe,10,October,1,0,"4,5,9,10","1,2,3",Same cycle as ripe plantain
Plantain Unripe,11,November,0,0,"4,5,9,10","1,2,3",Same cycle as ripe plantain
Plantain Unripe,12,December,0,0,"4,5,9,10","1,2,3",Same cycle as ripe plantain
Watermelon Fresh Medium,1,January,1,0,"11,12,1,2","7,8,9",Dry-season crop; Nov-Feb peak in north
Watermelon Fresh Medium,2,February,1,0,"11,12,1,2","7,8,9",Dry-season crop; Nov-Feb peak in north
Watermelon Fresh Medium,3,March,0,0,"11,12,1,2","7,8,9",Dry-season crop; Nov-Feb peak in north
Watermelon Fresh Medium,4,April,0,0,"11,12,1,2","7,8,9",Dry-season crop; Nov-Feb peak in north
Watermelon Fresh Medium,5,May,0,0,"11,12,1,2","7,8,9",Dry-season crop; Nov-Feb peak in north
Watermelon Fresh Medium,6,June,0,0,"11,12,1,2","7,8,9",Dry-season crop; Nov-Feb peak in north
Watermelon Fresh Medium,7,July,0,1,"11,12,1,2","7,8,9",Dry-season crop; Nov-Feb peak in north
Watermelon Fresh Medium,8,August,0,1,"11,12,1,2","7,8,9",Dry-season crop; Nov-Feb peak in north
Watermelon Fresh Medium,9,September,0,1,"11,12,1,2","7,8,9",Dry-season crop; Nov-Feb peak in north
Watermelon Fresh Medium,10,October,0,0,"11,12,1,2","7,8,9",Dry-season crop; Nov-Feb peak in north
Watermelon Fresh Medium,11,November,1,0,"11,12,1,2","7,8,9",Dry-season crop; Nov-Feb peak in north
Watermelon Fresh Medium,12,December,1,0,"11,12,1,2","7,8,9",Dry-season crop; Nov-Feb peak in north
Beans Brown,1,January,0,0,"10,11,12","4,5,6",Main cowpea harvest Oct-Dec; lean Apr-Jun pre-harvest
Beans Brown,2,February,0,0,"10,11,12","4,5,6",Main cowpea harvest Oct-Dec; lean Apr-Jun pre-harvest
Beans Brown,3,March,0,0,"10,11,12","4,5,6",Main cowpea harvest Oct-Dec; lean Apr-Jun pre-harvest
Beans Brown,4,April,0,1,"10,11,12","4,5,6",Main cowpea harvest Oct-Dec; lean Apr-Jun pre-harvest
Beans Brown,5,May,0,1,"10,11,12","4,5,6",Main cowpea harvest Oct-Dec; lean Apr-Jun pre-harvest
Beans Brown,6,June,0,1,"10,11,12","4,5,6",Main cowpea harvest Oct-Dec; lean Apr-Jun pre-harvest
Beans Brown,7,July,0,0,"10,11,12","4,5,6",Main cowpea harvest Oct-Dec; lean Apr-Jun pre-harvest
Beans Brown,8,August,0,0,"10,11,12","4,5,6",Main cowpea harvest Oct-Dec; lean Apr-Jun pre-harvest
Beans Brown,9,September,0,0,"10,11,12","4,5,6",Main cowpea harvest Oct-Dec; lean Apr-Jun pre-harvest
Beans Brown,10,October,1,0,"10,11,12","4,5,6",Main cowpea harvest Oct-Dec; lean Apr-Jun pre-harvest
Beans Brown,11,November,1,0,"10,11,12","4,5,6",Main cowpea harvest Oct-Dec; lean Apr-Jun pre-harvest
Beans Brown,12,December,1,0,"10,11,12","4,5,6",Main cowpea harvest Oct-Dec; lean Apr-Jun pre-harvest
Beans White,1,January,0,0,"10,11,12","4,5,6",Same cowpea harvest window as brown beans
Beans White,2,February,0,0,"10,11,12","4,5,6",Same cowpea harvest window as brown beans
Beans White,3,March,0,0,"10,11,12","4,5,6",Same cowpea harvest window as brown beans
Beans White,4,April,0,1,"10,11,12","4,5,6",Same cowpea harvest window as brown beans
Beans White,5,May,0,1,"10,11,12","4,5,6",Same cowpea harvest window as brown beans
Beans White,6,June,0,1,"10,11,12","4,5,6",Same cowpea harvest window as brown beans
Beans White,7,July,0,0,"10,11,12","4,5,6",Same cowpea harvest window as brown beans
Beans White,8,August,0,0,"10,11,12","4,5,6",Same cowpea harvest window as brown beans
Beans White,9,September,0,0,"10,11,12","4,5,6",Same cowpea harvest window as brown beans
Beans White,10,October,1,0,"10,11,12","4,5,6",Same cowpea harvest window as brown beans
Beans White,11,November,1,0,"10,11,12","4,5,6",Same cowpea harvest window as brown beans
Beans White,12,December,1,0,"10,11,12","4,5,6",Same cowpea harvest window as brown beans
Groundnuts Roasted 75cl,1,January,0,0,"10,11,12","4,5,6",Groundnut harvest Oct-Dec in northern belt
Groundnuts Roasted 75cl,2,February,0,0,"10,11,12","4,5,6",Groundnut harvest Oct-Dec in northern belt
Groundnuts Roasted 75cl,3,March,0,0,"10,11,12","4,5,6",Groundnut harvest Oct-Dec in northern belt
Groundnuts Roasted 75cl,4,April,0,1,"10,11,12","4,5,6",Groundnut harvest Oct-Dec in northern belt
Groundnuts Roasted 75cl,5,May,0,1,"10,11,12","4,5,6",Groundnut harvest Oct-Dec in northern belt
Groundnuts Roasted 75cl,6,June,0,1,"10,11,12","4,5,6",Groundnut harvest Oct-Dec in northern belt
Groundnuts Roasted 75cl,7,July,0,0,"10,11,12","4,5,6",Groundnut harvest Oct-Dec in northern belt
Groundnuts Roasted 75cl,8,August,0,0,"10,11,12","4,5,6",Groundnut harvest Oct-Dec in northern belt
Groundnuts Roasted 75cl,9,September,0,0,"10,11,12","4,5,6",Groundnut harvest Oct-Dec in northern belt
Groundnuts Roasted 75cl,10,October,1,0,"10,11,12","4,5,6",Groundnut harvest Oct-Dec in northern belt
Groundnuts Roasted 75cl,11,November,1,0,"10,11,12","4,5,6",Groundnut harvest Oct-Dec in northern belt
Groundnuts Roasted 75cl,12,December,1,0,"10,11,12","4,5,6",Groundnut harvest Oct-Dec in northern belt
Palm Oil 75cl,1,January,0,0,"3,4,5,6","10,11,12",Peak oil palm fruiting Mar-Jun; Oct-Dec lean
Palm Oil 75cl,2,February,0,0,"3,4,5,6","10,11,12",Peak oil palm fruiting Mar-Jun; Oct-Dec lean
Palm Oil 75cl,3,March,1,0,"3,4,5,6","10,11,12",Peak oil palm fruiting Mar-Jun; Oct-Dec lean
Palm Oil 75cl,4,April,1,0,"3,4,5,6","10,11,12",Peak oil palm fruiting Mar-Jun; Oct-Dec lean
Palm Oil 75cl,5,May,1,0,"3,4,5,6","10,11,12",Peak oil palm fruiting Mar-Jun; Oct-Dec lean
